#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2014-08-15T13:47:54 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ53ee0d9a0ceb	
#INFO	-out.max=unlimited	
#INFO	queryParameters=22	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:V/70A&tab:{V/70A/catalog}&key:source=gliese&HTTPPRM:&&-ref=VIZ53ee0d9a0ceb&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=V/70A/catalog
#-order=I
#-out=Name
#-out=RAB1950
#-out=DEB1950
#-out=Sp
#-out=Vmag
#-out=B-V
#-out=trplx
#-out=plx
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_5070
#Name: V/70A
#Title: Nearby Stars, Preliminary 3rd Version (Gliese+ 1991)
#Coosys	B1950:	eq_FK4 B1950
#Table	V_70A_catalog:
#Name: V/70A/catalog
#Title: The Catalogue
#Column	_RAJ2000	(F7.3)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F7.3)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	Name	(A8)	Identifier ; see remarks.	[ucd=meta.id;meta.main]
#Column	RAB1950	(A8)	? Right Ascension B1950	[ucd=pos.eq.ra;meta.main]
#Column	DEB1950	(A8)	? Declination B1950	[ucd=pos.eq.dec;meta.main]
#Column	Sp	(a12)	Spectral type or color class	[ucd=src.spType]
#Column	Vmag	(F6.2)	Apparent magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	? color	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	trplx	(F6.1)	? Trigonometric parallax	[ucd=pos.parallax.trig]
#Column	plx	(F6.1)	? Resulting parallax	[ucd=pos.parallax.trig]
#Column	_RA.icrs	(A8)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A8)	Declination (ICRS) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
_RAJ2000|_DEJ2000|Name|RAB1950|DEB1950|Sp|Vmag|B-V|trplx|plx|_RA.icrs|_DE.icrs
076.8646|+18.6454|Gl 188  |05 04 30|+18 34.8|G4 V        |  5.60| 0.65|  58.8|  58.8|05 07 27.5|+18 38 43
076.8646|+18.6454|Gl 188  |05 04 30|+18 34.8|G4 V        |  5.70|     |  58.8|  58.8|05 07 27.5|+18 38 43
076.3777|-57.4723|Gl 189  |05 04 39|-57 32.4|F7 V        |  4.71| 0.52|  87.8|  73.0|05 05 30.6|-57 28 20
076.7084|-21.5847|NN 3331 |05 04 42|-21 39.0|M2          | 10.29| 1.52|      |  83.0|05 06 50.0|-21 35 05
076.7042|-21.5847|NN 3332 |05 04 41|-21 39.0|M3:         | 11.66| 1.51|      |  83.0|05 06 49.0|-21 35 05
076.9548|+17.9825|NN 3333 |05 04 54|+17 55.3|k           | 11.78| 1.66|      |  81.0|05 07 49.1|+17 58 57
076.9107| +9.4710|NN 3334 |05 04 54|+09 24.7|G1 IV       |  6.17| 0.62|  40.2|  40.2|05 07 38.6|+09 28 16
076.4472|-57.5543|GJ 1075 |05 04 56|-57 37.3|K7 V        |  9.02| 1.40|      |  81.0|05 05 47.3|-57 33 15
076.9608| -5.0869|Wo 9175 |05 05 23|-05 09.0|A3 III      |  2.79| 0.13|  49.7|  49.7|05 07 50.6|-05 05 13
077.1826| -4.4566|Gl 189.2|05 06 15|-04 31.2|F2 V        |  5.11| 0.44|  48.4|  46.0|05 08 43.8|-04 27 24
077.2925|+15.4592|NN 3335 |05 06 18|+15 24.3|M3          | 12.48| 1.50|  33.6|  48.0|05 09 10.2|+15 27 33
077.1470|-18.1693|Gl 190  |05 06 21|-18 12.9|M4          | 10.30| 1.50|  90.6|  90.6|05 08 35.3|-18 10 09
077.5922|+48.8413|NN 3336 |05 06 33|+48 47.1|M2          | 11.39| 1.53|      |  72.0|05 10 22.1|+48 50 29
077.7145|+16.4294|GJ 2039 |05 07 58|+16 22.3|K0          |  8.55| 1.12|      |  59.0|05 10 51.5|+16 25 46
077.7412|+18.6269|NN 3337 |05 08 03|+18 34.5|m           | 14.20|     |      |  43.0|05 10 57.9|+18 37 37
077.6786|-44.5723|Wo 9177 |05 09 13|-44 38.1|G8 IV/V     |  8.71| 0.77|  39.9|  39.9|05 10 42.9|-44 34 20
077.9180|-45.0186|Gl 191  |05 09 41|-44 59.9|M0 V        |  8.85| 1.55| 258.3| 258.3|05 11 40.3|-45 01 07
078.1749|+19.6654|Gl 192  |05 09 44|+19 36.2|M3.5:       | 10.76| 1.54|  70.4|  70.4|05 12 42.0|+19 39 55
078.5716|+19.8820|NN 3338 |05 11 19|+19 49.7|K4          |  9.47| 1.17|  40.3|  38.0|05 14 17.2|+19 52 55
078.5133| +8.0048|NN 3339 |05 11 21|+07 57.1|DA8         | 15.89| 0.42|      |  40.0|05 14 03.2|+08 00 17
078.5830|-15.8267|Gl 193  |05 12 04|-15 52.8|G8 V        |  7.44| 0.73|  62.0|  40.0|05 14 19.9|-15 49 36
078.7846| -7.3473|NN 3340 |05 12 42|-07 23.8|m           | 11.55|     |      |  39.0|05 15 08.3|-07 20 50
079.1704|+45.9986|Gl 194  |05 12 59|+45 57.0|G5 III      |  0.71| 0.80|  79.0|  79.0|05 16 40.9|+45 59 55
079.1704|+45.9986|Gl 194  |05 12 59|+45 57.0|G0 III      |  0.96|     |  79.0|  79.0|05 16 40.9|+45 59 55
079.3480|+45.8396|Gl 195  |05 13 42|+45 47.5|dM2         | 10.20| 1.50|  76.3|  76.3|05 17 23.5|+45 50 23
079.3480|+45.8396|Gl 195  |05 13 42|+45 47.5|M4  :       | 13.70|     |  76.3|  76.3|05 17 23.5|+45 50 23
078.9454|-31.2953|NN 3341 |05 13 51|-31 21.2|m           | 12.15|     |      |  48.0|05 15 46.9|-31 17 43
080.6411|+79.2308|Gl 196  |05 14 17|+79 10.7|F6 V        |  5.05| 0.47|  52.9|  52.9|05 22 33.9|+79 13 51
079.7844|+40.0989|Gl 197  |05 15 37|+40 03.4|G2 IV-V     |  4.71| 0.63|  69.5|  69.5|05 19 08.3|+40 05 56
080.1718|+58.7932|NN 3342 |05 16 18|+58 45.0|m           | 13.44| 1.62|  39.0|  39.0|05 20 41.2|+58 47 36
080.1675|+58.7882|NN 3343 |05 16 17|+58 44.7|m           | 14.03| 1.64|  39.0|  39.0|05 20 40.2|+58 47 18
079.7106|-18.1298|Gl 198  |05 16 37|-18 10.9|G0 V        |  5.96| 0.57|  63.7|  49.0|05 18 50.5|-18 07 47
079.8025| -3.0741|Gl 200  |05 16 40|-03 07.6|K3 V        |  7.70| 1.04|  79.7|  79.7|05 19 12.6|-03 04 27
079.8025| -3.0741|Gl 200  |05 16 40|-03 07.6|M2          | 11.70|     |  79.7|  79.7|05 19 12.6|-03 04 27
079.6979|-21.3945|Gl 199  |05 16 40|-21 26.7|K3/5 V      |  9.33| 1.27|  53.6|  61.0|05 18 47.5|-21 23 40
079.6979|-21.3945|Gl 199  |05 16 40|-21 26.7|            | 13.50|     |  53.6|  61.0|05 18 47.5|-21 23 40
079.4733|-53.6815|Gl 200.1|05 16 48|-53 43.6|k           | 13.19| 1.16|  44.9|  44.9|05 17 53.6|-53 40 54
078.9921|-72.2290|NN 3344 |05 16 50|-72 17.6|m           | 11.70| 1.40|      |  52.0|05 15 58.1|-72 13 44
079.8964| +3.8736|GJ 2040 |05 16 57|+03 49.4|M0 V        |  9.86| 1.42|      |  60.0|05 19 35.1|+03 52 25
080.2920|+55.7644|NN 3345 |05 16 59|+55 43.1|m           | 13.01|     |      |  43.0|05 21 10.1|+55 45 52
079.9985|-15.8394|NN 3346 |05 17 44|-15 53.5|K3 V        |  8.79| 1.00|      |  39.0|05 19 59.6|-15 50 22
080.8354|+54.7998|GJ 1076 |05 19 13|+54 45.5|K3  p       |  9.46| 1.04|  51.1|  29.0|05 23 20.5|+54 47 59
079.2299|-78.2916|GJ 1077 |05 19 38|-78 19.6|M1.5 V      | 11.91| 1.48|  76.8|  76.8|05 16 55.2|-78 17 30
080.6918| +0.2096|GJ 2041 |05 20 12|+00 09.8|K5 V?       |  8.82| 1.11|      |  47.0|05 22 46.0|+00 12 34
080.9089|+17.3241|Gl 201  |05 20 43|+17 16.7|dK5  e      |  7.95| 1.09|  61.2|  61.2|05 23 38.1|+17 19 27
080.9539|+22.5448|GJ 1078 |05 20 47|+22 30.2|m           | 15.52| 1.83|  48.5|  48.5|05 23 48.9|+22 32 41
081.1051|+17.3829|Gl 202  |05 21 30|+17 20.3|F8 Ve       |  4.99| 0.53|  65.2|  65.2|05 24 25.2|+17 22 59
081.5609|-32.5043|GJ 1079 |05 24 22|-32 32.7|K2/3 V      |  7.74| 0.94|      |  55.0|05 26 14.6|-32 30 15
082.0011| +9.6432|Gl 203  |05 25 16|+09 36.8|M3.5        | 12.48| 1.64|  99.7|  99.7|05 28 00.3|+09 38 36
082.0580| +2.9694|GJ 1080 |05 25 38|+02 56.7|M5 V        | 12.80| 1.60|  52.3|  52.3|05 28 13.9|+02 58 10
082.1066| -3.4997|Gl 204  |05 25 57|-03 31.7|K5 V        |  7.65| 1.10|  71.2|  71.2|05 28 25.6|-03 29 59
082.2157|+12.5514|NN 3347 |05 26 03|+12 30.9|G0 V        |  6.75| 0.58|  39.5|  39.5|05 28 51.8|+12 33 05
082.2366|+12.5314|NN 3348 |05 26 08|+12 29.7|m           | 13.98| 1.65|  39.5|  39.5|05 28 56.8|+12 31 53
082.3619|+15.5746|GJ 2043 |05 26 35|+15 32.3|dM2         | 10.63| 1.47|      |  46.0|05 29 26.8|+15 34 29
082.3577|+15.5763|GJ 2043 |05 26 34|+15 32.4|m           | 14.68|     |      |  46.0|05 29 25.8|+15 34 35
082.4680|+32.0825|NN 3349 |05 26 38|+32 03.2|M3          | 12.15| 1.48|  34.1|  34.1|05 29 52.3|+32 04 57
081.9131|-60.4170|Gl 204.1|05 27 03|-60 27.3|G5 Ve       |  6.99| 0.77|  44.8|  49.0|05 27 39.1|-60 25 01
081.3289|-75.6918|Wo 9181 |05 27 06|-75 43.7|F8 V        |  7.17| 0.54|  42.1|  27.0|05 25 18.9|-75 41 30
082.4653| -3.4419|Gl 204.2|05 27 23|-03 28.4|M3.5        | 12.02| 1.53|  53.1|  53.1|05 29 51.7|-03 26 31
082.8626| -3.6781|Gl 205  |05 28 55|-03 41.1|M1.5 V      |  7.96| 1.47| 172.3| 172.3|05 31 27.0|-03 40 41
082.7689|-30.1950|NN 3350 |05 29 08|-30 13.5|m           | 13.00|     |      |  50.0|05 31 04.5|-30 11 42
084.4920|+79.5356|NN 3351 |05 29 12|+79 31.0|m           | 18.40|     |  45.2|  45.2|05 37 58.1|+79 32 08
083.0600| +9.8212|Gl 206  |05 29 30|+09 47.3|dM4  e      | 11.52| 1.63|  70.9|  70.9|05 32 14.4|+09 49 16
083.3242|+44.8161|GJ 1081 |05 29 38|+44 47.2|k-m         | 12.21| 1.60|  65.9|  65.9|05 33 17.8|+44 48 58
083.2621|+29.3893|Gl 207  |05 29 53|+29 21.4|K7          | 12.07| 1.46|  54.1|  54.1|05 33 02.9|+29 23 22
083.5377|+51.2153|NN 3352 |05 30 13|+51 11.1|M3          | 11.07| 1.46|      |  45.0|05 34 09.0|+51 12 55
083.4338| +1.9443|Gl 207.1|05 31 09|+01 54.8|dM2.5e      | 11.53| 1.57|  66.3|  66.3|05 33 44.1|+01 56 39
083.5643|+10.3195|NN 3353 |05 31 30|+10 17.5|M3          | 12.32|     |      |  51.0|05 34 15.4|+10 19 10
083.5643|+10.3178|NN 3354 |05 31 30|+10 17.4|M3.5        | 13.62|     |      |  51.0|05 34 15.4|+10 19 04
083.7542|+28.0985|NN 3355 |05 31 51|+28 04.2|K7          | 10.08| 1.27|      |  41.0|05 35 01.0|+28 05 55
083.7155|+13.8784|NN 3356 |05 32 02|+13 51.1|M3.5        | 11.81| 1.59|  80.7|  80.7|05 34 51.7|+13 52 42
084.0834|+41.5012|GJ 1082 |05 32 48|+41 28.2|DA7         | 14.75| 0.32|      |  53.0|05 36 20.0|+41 30 04
083.9805| -7.6463|NN 3357 |05 33 30|-07 41.0|M4          | 12.80| 1.63|      |  79.0|05 35 55.3|-07 38 47
084.1291|+11.3277|Gl 208  |05 33 44|+11 17.9|dM0         |  8.80| 1.40|  86.1|  86.1|05 36 31.0|+11 19 40
084.2606|+20.7303|Gl 209  |05 34 04|+20 42.4|G4 IV-V     |  7.67| 0.66|  56.2|  56.2|05 37 02.6|+20 43 49
084.5505|+51.4453|NN 3358 |05 34 18|+51 24.9|K2 V        |  7.73| 0.83|  39.7|  39.7|05 38 12.1|+51 26 43
084.7565|+45.4478|NN 3359 |05 35 20|+45 25.3|G5          |  8.08|     |      |  42.0|05 39 01.6|+45 26 52
083.9495|-62.8034|Wo 9185 |05 35 24|-62 50.2|K5 V        |  9.33| 1.13|  42.0|  38.0|05 35 47.9|-62 48 12
084.4342|-28.6896|Gl 209.1|05 35 47|-28 43.1|F5 V        |  5.30| 0.46|  45.6|  49.0|05 37 44.2|-28 41 22
084.7219| -7.2137|Wo 9187 |05 36 28|-07 14.4|A4 IV       |  4.80| 0.14|  41.3|  41.3|05 38 53.3|-07 12 49
084.5095|-42.9636|Gl 210  |05 36 30|-42 59.7|G0 V        |  7.44| 0.60|  59.8|  28.0|05 38 02.3|-42 57 49
084.5379|-46.1057|NN 3360 |05 36 45|-46 07.6|G5 V        |  7.34| 0.78|  33.2|  40.0|05 38 09.1|-46 06 20
084.5411|-46.1062|NN 3361 |05 36 46|-46 07.6|K5 V        |  9.70|     |  33.2|  40.0|05 38 09.9|-46 06 22
085.3360|+53.4813|Gl 211  |05 37 17|+53 27.8|K1 Ve       |  6.23| 0.84|  82.7|  82.7|05 41 20.6|+53 28 53
085.1077|+24.8024|GJ 1083 |05 37 21|+24 46.9|m           | 14.85| 1.88|  96.7|  96.7|05 40 25.9|+24 48 09
085.3779|+53.4897|Gl 212  |05 37 27|+53 28.3|M1          |  9.75| 1.48|  86.1|  86.1|05 41 30.7|+53 29 23
085.0647|+12.6489|NN 3362 |05 37 27|+12 37.6|M3          | 11.36| 1.46|      |  47.0|05 40 15.5|+12 38 56
085.4969|+15.3363|Wo 9188 |05 39 07|+15 18.8|dM0         | 10.61| 1.46|      |  47.0|05 41 59.3|+15 20 11
085.5390|+12.4895|Gl 213  |05 39 14|+12 29.3|M4          | 11.53| 1.62| 166.5| 166.5|05 42 09.4|+12 29 22
085.5539| -5.4652|GJ 2045 |05 39 46|-05 30.1|m           | 15.28| 1.86|  78.1|  78.1|05 42 12.9|-05 27 55
086.4444|+62.2371|Gl 215  |05 41 05|+62 13.7|K7          |  9.02| 1.40|  71.6|  71.6|05 45 46.7|+62 14 14
084.2972|-80.4685|Wo 9189 |05 41 08|-80 30.5|G1 V        |  5.65| 0.60|  42.9|  62.0|05 37 11.3|-80 28 07
086.2127|+32.3909|NN 3363 |05 41 35|+32 22.3|G5          |  8.15|     |      |  48.0|05 44 51.1|+32 23 27
086.9224|+69.7442|NN 3364 |05 42 00|+69 44.0|m           | 16.47| 1.69|  42.4|  42.4|05 47 41.4|+69 44 39
086.1172|-22.4484|Gl 216  |05 42 23|-22 27.8|F6 V        |  3.58| 0.47| 124.9| 124.9|05 44 28.1|-22 26 54
086.1089|-22.4214|Gl 216  |05 42 21|-22 26.2|K2 V        |  6.13| 0.94| 124.9| 124.9|05 44 26.1|-22 25 17
086.5062|+37.2852|Gl 217  |05 42 35|+37 16.4|K1 V        |  7.36| 0.83|  56.7|  56.7|05 46 01.5|+37 17 07
086.6568|+44.1203|NN 3365 |05 43 02|+44 06.4|M4          | 12.79| 1.55|  39.2|  39.2|05 46 37.6|+44 07 13
086.7856| -5.2059|NN 3366 |05 44 39|-05 12.9|m           | 14.54| 1.78|  62.5|  62.5|05 47 08.5|-05 12 21
086.7376|-14.8228|Gl 217.1|05 44 41|-14 50.4|A3 V        |  3.55| 0.10|  48.7|  48.7|05 46 57.0|-14 49 22
086.8238| -0.0130|NN 3367 |05 44 44|-00 01.8|M0          | 10.99| 1.45|      |  42.0|05 47 17.7|-00 00 47
086.1331|-70.1445|Gl 217.2|05 45 06|-70 10.8|K0 V        |  8.08| 0.76|  47.7|  32.0|05 44 31.9|-70 08 40
087.1003| +7.7604|NN 3368 |05 45 41|+07 44.9|m           | 14.19|     |      |  45.0|05 48 24.1|+07 45 37
086.9189|-36.3284|Gl 218  |05 45 53|-36 20.6|M3          | 10.73| 1.48|  95.5|  95.5|05 47 40.5|-36 19 42
087.0703|-11.1343|NN 3369 |05 45 57|-11 09.3|M0.5        | 11.00| 1.42|  36.3|  42.0|05 48 16.9|-11 08 03
086.8266|-48.5249|GJ 1084 |05 46 00|-48 32.2|M0 V        |  9.74| 1.38|  21.6|  57.0|05 47 18.4|-48 31 30
087.1465| -4.0944|GJ 1085 |05 46 06|-04 06.4|G2 V        |  5.97| 0.64|      |  59.0|05 48 35.2|-04 05 40
086.8216|-51.0660|Gl 219  |05 46 06|-51 05.0|A5 V        |  3.85| 0.17|  59.8|  59.8|05 47 17.2|-51 03 58
087.8325| -0.1735|GJ 1086 |05 48 46|-00 11.3|DQP8        | 14.55| 0.48|  90.5|  90.5|05 51 19.8|-00 10 25
088.3093|+24.2584|Gl 220  |05 50 10|+24 15.4|M1.5        | 10.81| 1.48|  52.2|  52.2|05 53 14.2|+24 15 30
088.2530| -5.9946|Gl 221  |05 50 34|-06 00.0|M0 V        |  9.70| 1.33|  50.8|  50.8|05 53 00.7|-05 59 41
088.5947|+20.2757|Gl 222  |05 51 25|+20 16.1|G0 V        |  4.40| 0.59| 103.1| 103.1|05 54 22.7|+20 16 32
088.8524|+49.0062|NN 3370 |05 51 34|+48 59.9|K2          |  7.83| 1.07|      |  61.0|05 55 24.6|+49 00 22
088.6186| +2.1427|Gl 223  |05 51 52|+02 08.6|K3 V        |  8.83| 1.02|  66.7|  39.0|05 54 28.5|+02 08 34
088.6424| -9.3910|Gl 223.1|05 52 11|-09 24.3|dM0         | 10.71| 1.17|  51.0|  23.0|05 54 34.2|-09 23 28
088.7905| -4.1714|Gl 223.2|05 52 39|-04 08.8|DZ9         | 14.45| 1.05| 154.8| 154.8|05 55 09.7|-04 10 17
089.0148|+13.9247|Gl 224  |05 53 12|+13 55.5|G5 IV       |  6.61| 0.65|  47.4|  47.4|05 56 03.5|+13 55 29
088.5254|-63.0901|Gl 224.1|05 53 43|-63 06.3|K1 III/IV   |  4.65| 1.05|  50.6|  50.6|05 54 06.1|-63 05 24
089.1059| +5.3629|GJ 1087 |05 53 47|+05 22.2|DAP9        | 14.10| 0.60| 125.1| 125.1|05 56 25.4|+05 21 46
089.1030|-14.1673|Gl 225  |05 54 08|-14 10.5|F1 III      |  3.72| 0.33|  73.4|  73.4|05 56 24.7|-14 10 02
089.9042|+58.5929|NN 3371 |05 55 14|+58 35.6|M1          | 10.25| 1.51|      |  76.0|05 59 37.0|+58 35 35
089.9788|+58.5709|NN 3372 |05 55 32|+58 34.3|m           | 13.56|     |      |  76.0|05 59 54.9|+58 34 15
090.2110|+68.1484|NN 3373 |05 55 27|+68 09.7|k-m         | 12.90| 1.56|  49.5|  49.5|06 00 50.6|+68 08 54
090.1979|+68.1335|NN 3374 |05 55 24|+68 08.8|m           | 13.31| 1.59|  49.5|  49.5|06 00 47.5|+68 08 01
089.8839|+44.9478|NN 3375 |05 55 52|+44 56.7|A2 IV       |  1.90| 0.03|  44.3|  44.3|05 59 32.1|+44 56 52
089.5897| -4.6512|NN 3376 |05 55 53|-04 39.1|G0          |  6.99|     |      |  40.0|05 58 21.5|-04 39 04
089.5734| -4.6344|NN 3377 |05 55 49|-04 38.1|k-m         | 16.30|     |      |  40.0|05 58 17.6|-04 38 04
090.2901|+59.5983|NN 3378 |05 56 43|+59 36.5|m           | 11.71| 1.60| 132.2| 132.2|06 01 09.6|+59 35 54
090.0153| +2.7055|NN 3379 |05 57 26|+02 42.3|M4          | 11.33| 1.68| 186.3| 186.3|06 00 03.7|+02 42 20
089.9842|-37.0563|Gl 225.1|05 58 12|-37 03.6|G5 V        |  8.60| 0.63|  46.9|  46.9|05 59 56.2|-37 03 23
090.0833|-31.0305|Gl 225.2|05 58 28|-31 02.2|K5 V        |  8.28| 1.14|  50.7|  66.0|06 00 20.0|-31 01 50
090.0833|-31.0305|Gl 225.2|05 58 28|-31 02.2|            |  9.10|     |  50.7|  66.0|06 00 20.0|-31 01 50
090.0833|-31.0305|Gl 225.2|05 58 28|-31 02.2|K5 V        |  8.30|     |  50.7|  66.0|06 00 20.0|-31 01 50
090.6223|+49.8616|NN 3380 |05 58 36|+49 52.4|m           | 14.47| 1.87| 107.8| 107.8|06 02 29.4|+49 51 42
092.5715|+82.1070|Gl 226  |05 59 42|+82 07.9|M2.5        | 10.50| 1.51| 105.0| 105.0|06 10 17.2|+82 06 25
090.8751|+47.8032|NN 3381 |05 59 43|+47 48.8|M3.5        | 13.94|     |      |  45.0|06 03 30.0|+47 48 11
090.5953|-20.3285|NN 3382 |06 00 14|-20 20.1|m           | 13.25|     |      |  49.0|06 02 22.9|-20 19 43
090.9781|+26.1461|Gl 226.1|06 00 47|+26 09.4|M3.5        | 13.67| 1.65|  47.9|  47.9|06 03 54.7|+26 08 46
091.0890|+18.6947|NN 3383 |06 01 25|+18 41.9|G5          |  7.98|     |      |  51.0|06 04 21.4|+18 41 41
091.9819|+67.9774|Gl 226.2|06 02 37|+67 59.1|dK8         |  9.75| 1.25|  50.9|  40.0|06 07 55.7|+67 58 39
091.5363|+35.3872|Gl 226.3|06 02 48|+35 23.8|G0 V        |  6.11| 0.60|  46.6|  49.0|06 06 08.7|+35 23 14
091.1185|-45.0361|Wo 9200 |06 03 02|-45 02.1|G0 IV-V     |  6.35| 0.52|  40.2|  40.2|06 04 28.4|-45 02 10
091.0680|-55.3036|Wo 9201 |06 03 15|-55 18.2|k           | 12.15| 1.46|  40.6|  40.0|06 04 16.3|-55 18 13
091.6704|+15.5421|Gl 227  |06 03 49|+15 33.0|dK0  e      |  6.76| 0.81|  65.3|  65.3|06 06 40.9|+15 32 32
091.8024|+33.5426|NN 3384 |06 03 54|+33 33.3|M3          | 12.44| 1.45|      |  41.0|06 07 12.6|+33 32 33
091.5156|-59.5425|Wo 9202 |06 05 25|-59 31.5|K0 V        |  8.46| 0.85|  40.8|  31.0|06 06 03.7|-59 32 33
092.2586|+26.5555|Wo 9203 |06 05 57|+26 34.0|M3          | 13.34| 1.50|  40.8|  24.0|06 09 02.1|+26 33 20
092.6953|+25.9330|NN 3385 |06 07 40|+25 57.1|M1.5        | 11.55| 1.46|  34.7|  34.7|06 10 46.9|+25 55 59
092.7298|+10.3183|Gl 228  |06 08 09|+10 20.6|dM2.5 J     | 10.58| 1.46| 100.8| 100.8|06 10 55.1|+10 19 06
092.7298|+10.3183|Gl 228  |06 08 09|+10 20.6|            | 12.50|     | 100.8| 100.8|06 10 55.1|+10 19 06
092.6437|-21.8649|Gl 229  |06 08 28|-21 50.6|M1 Ve       |  8.14| 1.50| 174.9| 174.9|06 10 34.5|-21 51 54
093.4010|+63.3955|NN 3386 |06 08 48|+63 24.7|dK8         |  9.69| 1.21|  34.2|  40.0|06 13 36.2|+63 23 44
093.0014| +6.7819|NN 3387 |06 09 18|+06 47.9|G4 V        |  6.87| 0.63|  42.7|  39.0|06 12 00.3|+06 46 55
092.7341|-43.4105|GJ 1088 |06 09 25|-43 24.5|M3.5        | 12.32| 1.59|      |  75.0|06 10 56.2|-43 24 38
092.8746|-41.5786|Wo 9204 |06 09 55|-41 33.7|K2 V        |  9.29| 0.95|  43.7|  27.0|06 11 29.9|-41 34 43
093.5091|+51.6693|NN 3388 |06 10 06|+51 41.1|m           | 12.86|     |      |  55.0|06 14 02.2|+51 40 09
094.0127|+70.7812|Wo 9205 |06 10 18|+70 48.2|dG7         |  7.43| 0.77|  42.7|  44.0|06 16 03.1|+70 46 52
093.3023|+10.6266|Gl 230  |06 10 26|+10 38.7|G2 V        |  6.45| 0.67|  56.9|  56.9|06 13 12.5|+10 37 36
092.7570|-65.2036|Wo 9206 |06 10 51|-65 10.8|k           | 11.35| 1.46|  42.7|  37.0|06 11 01.7|-65 12 13
093.4378|-23.8622|NN 3389 |06 11 41|-23 50.9|G5 V        |  6.38| 0.72|      |  61.0|06 13 45.1|-23 51 44
092.5607|-74.7530|Gl 231  |06 11 44|-74 44.2|G5 V        |  5.08| 0.72| 114.1| 114.1|06 10 14.6|-74 45 11
093.7107|+19.1561|NN 3390 |06 11 54|+19 10.5|F6 V        |  5.20| 0.44|  37.7|  46.0|06 14 50.6|+19 09 22
094.1105|+12.2727|Wo 9207 |06 13 38|+12 17.3|F5 IV-V     |  5.04| 0.42|  43.4|  43.4|06 16 26.5|+12 16 22
094.3167| +5.0995|Gl 231.1|06 14 37|+05 07.0|F9 V        |  5.70| 0.60|  50.4|  61.0|06 17 16.0|+05 05 58
094.2954| +5.1179|Gl 231.1|06 14 32|+05 08.1|m+          | 13.42| 1.41|  50.4|  61.0|06 17 10.9|+05 07 04
094.0773|-59.2139|Wo 9209 |06 15 37|-59 11.4|G3 V        |  6.43| 0.59|  42.0|  44.0|06 16 18.6|-59 12 50
094.0773|-59.2139|Wo 9209 |06 15 37|-59 11.4|DB4         | 14.09|-0.09|  42.0|  44.0|06 16 18.6|-59 12 50
094.8363| -6.6579|Gl 231.3|06 16 55|-06 37.6|M4          | 13.06| 1.70|  67.6|  67.6|06 19 20.7|-06 39 28
095.3059|+44.2430|NN 3391 |06 17 34|+44 16.2|m           | 12.27|     |      |  42.0|06 21 13.4|+44 14 35
095.2015| +6.7543|NN 3392 |06 18 05|+06 46.7|DA9         | 16.37| 0.55|  44.8|  44.8|06 20 48.4|+06 45 16
095.4736|-22.7234|GJ 2049 |06 19 50|-22 42.1|M1.5        | 10.76| 1.44|  27.8|  76.0|06 21 53.7|-22 43 24
096.1734|+23.4331|Gl 232  |06 21 37|+23 28.1|M4.5        | 13.06| 1.76| 120.0| 120.0|06 24 41.6|+23 25 59
096.4695|+56.1724|NN 3393 |06 21 39|+56 12.5|m           | 14.55| 1.76|  44.9|  44.9|06 25 52.7|+56 10 21
096.1818|-28.7805|NN 3394 |06 22 47|-28 45.0|G0 V        |  6.39| 0.62|      |  45.0|06 24 43.6|-28 46 50
096.5412|+18.7560|Gl 233  |06 23 14|+18 47.3|K2 V e      |  6.76| 0.94|  66.6|  66.6|06 26 09.9|+18 45 22
096.7955|-25.8565|Wo 9212 |06 25 10|-25 49.3|F9 V        |  6.07| 0.53|  43.7|  35.0|06 27 10.9|-25 51 23
096.7955|-25.8565|Wo 9212 |06 25 10|-25 49.3|K7          | 11.57| 1.04|  43.7|  35.0|06 27 10.9|-25 51 23
097.3494| -2.8138|Gl 234  |06 26 51|-02 46.2|M4.5 J      | 11.13| 1.71| 242.1| 242.1|06 29 23.9|-02 48 50
