#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2014-08-08T10:07:21 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ53e4a0d167e0	
#INFO	-out.max=unlimited	
#INFO	queryParameters=27	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=V/70A/catalog
#-nav=cat:V/70A&tab:{V/70A/catalog}&key:source=V/70A&HTTPPRM:&&-ref=VIZ53e4a0d167e0&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=Name&-out=RAB1950&-out=DEB1950&-out=pm&-out=pmPA&-out=RV&-out=Sp&-out=Vmag&-out=B-V&-out=trplx&-out=plx&-out=Mv&-out=OtherName&-out=Remarks&-out=_RA.icrs&-out=_DE.icrs&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=V/70A/catalog
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=V/70A/catalog
#-order=I
#-out=Name
#-out=RAB1950
#-out=DEB1950
#-out=pm
#-out=pmPA
#-out=RV
#-out=Sp
#-out=Vmag
#-out=B-V
#-out=trplx
#-out=plx
#-out=Mv
#-out=OtherName
#-out=Remarks
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_5070
#Name: V/70A
#Title: Nearby Stars, Preliminary 3rd Version (Gliese+ 1991)
#Coosys	B1950:	eq_FK4 B1950
#Table	V_70A_catalog:
#Name: V/70A/catalog
#Title: The Catalogue
#Column	Name	(A8)	Identifier ; see remarks.	[ucd=meta.id;meta.main]
#Column	RAB1950	(A8)	? Right Ascension B1950	[ucd=pos.eq.ra;meta.main]
#Column	DEB1950	(A8)	? Declination B1950	[ucd=pos.eq.dec;meta.main]
#Column	pm	(F6.3)	? Total proper motion	[ucd=pos.pm]
#Column	pmPA	(F5.1)	? Direction angle of proper motion	[ucd=pos.pm;pos.posAng]
#Column	RV	(F6.1)	? Radial velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Sp	(a12)	Spectral type or color class	[ucd=src.spType]
#Column	Vmag	(F6.2)	Apparent magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	? color	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	trplx	(F6.1)	? Trigonometric parallax	[ucd=pos.parallax.trig]
#Column	plx	(F6.1)	? Resulting parallax	[ucd=pos.parallax.trig]
#Column	Mv	(F5.2)	Absolute visual magnitude	[ucd=phys.magAbs]
#Column	OtherName	(A5)	Other designations	[ucd=meta.id]
#Column	Remarks	(a69)	Additional identifications (LTT, LFT, Wolf, Ross, etc.) and remarks	[ucd=meta.note]
#Column	_RA.icrs	(A8)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A8)	Declination (ICRS) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
Name|RAB1950|DEB1950|pm|pmPA|RV|Sp|Vmag|B-V|trplx|plx|Mv|OtherName|Remarks|_RA.icrs|_DE.icrs
Gl 217.1|05 44 41|-14 50.4| 0.022|264.4|  16.3|A3 V        |  3.55| 0.10|  48.7|  48.7| 1.99|     |ZET Lep                                                              |05 46 57.0|-14 49 22
NN 3367 |05 44 44|-00 01.8|      |     |      |M0          | 10.99| 1.45|      |  42.0| 9.11|     |Steph 578                                                            |05 47 17.7|-00 00 47
Gl 217.2|05 45 06|-70 10.8| 1.263|345.6|  13.8|K0 V        |  8.08| 0.76|  47.7|  32.0| 5.61|     |                                                                     |05 44 31.9|-70 08 40
NN 3368 |05 45 41|+07 44.9| 0.276|165.0|      |m           | 14.19|     |      |  45.0|12.46|     |LTT 17868                                                            |05 48 24.1|+07 45 37
Gl 218  |05 45 53|-36 20.6| 0.692| 96.6|  56.0|M3          | 10.73| 1.48|  95.5|  95.5|10.63|     |                                                                     |05 47 40.5|-36 19 42
NN 3369 |05 45 57|-11 09.3| 0.425|329.0|      |M0.5        | 11.00| 1.42|  36.3|  42.0| 9.12|     |LTT 2376 L 810-58                                                    |05 48 16.9|-11 08 03
GJ 1084 |05 46 00|-48 32.2| 0.320|176.0|      |M0 V        |  9.74| 1.38|  21.6|  57.0| 8.52|U126 |LTT 2379                                                             |05 47 18.4|-48 31 30
GJ 1085 |05 46 06|-04 06.4| 0.232|165.6|  31.9|G2 V        |  5.97| 0.64|      |  59.0| 4.82|     |LTT 2380 BS2007                                                      |05 48 35.2|-04 05 40
Gl 219  |05 46 06|-51 05.0| 0.081|  4.7|  20.0|A5 V        |  3.85| 0.17|  59.8|  59.8| 2.73|     |BET Pic                                                              |05 47 17.2|-51 03 58
GJ 1086 |05 48 46|-00 11.3| 0.213| 22.0|      |DQP8        | 14.55| 0.48|  90.5|  90.5|14.33|W248 |LTT 17876                                                            |05 51 19.8|-00 10 25
Gl 220  |05 50 10|+24 15.4| 0.610|169.1|      |M1.5        | 10.81| 1.48|  52.2|  52.2| 9.40|     |AC+24:147-263 Ross 59 LFT 437                                        |05 53 14.2|+24 15 30
Gl 221  |05 50 34|-06 00.0| 0.333|180.0|  22.2|M0 V        |  9.70| 1.33|  50.8|  50.8| 8.23|V010 |                                                                     |05 53 00.7|-05 59 41
Gl 222  |05 51 25|+20 16.1| 0.210|244.0| -13.4|G0 V        |  4.40| 0.59| 103.1| 103.1| 4.47|     |BS 2047 CHI(1) Ori  sep 0.6" d(m) =     ? comp see AJ 72,910         |05 54 22.7|+20 16 32
NN 3370 |05 51 34|+48 59.9| 0.004|146.7|      |K2          |  7.83| 1.07|      |  61.0| 6.76|     |                                                                     |05 55 24.6|+49 00 22
Gl 223  |05 51 52|+02 08.6| 0.644|173.7| -41.8|K3 V        |  8.83| 1.02|  66.7|  39.0| 6.79|U128 |                                                                     |05 54 28.5|+02 08 34
Gl 223.1|05 52 11|-09 24.3| 0.452| 18.0|      |dM0         | 10.71| 1.17|  51.0|  23.0| 7.52|V468 |                                                                     |05 54 34.2|-09 23 28
Gl 223.2|05 52 39|-04 08.8| 2.377|166.6|      |DZ9         | 14.45| 1.05| 154.8| 154.8|15.40|W045 |LP 658-002                                                           |05 55 09.7|-04 10 17
Gl 224  |05 53 12|+13 55.5| 0.608|143.4|   0.3|G5 IV       |  6.61| 0.65|  47.4|  47.4| 5.00|     |                                                                     |05 56 03.5|+13 55 29
Gl 224.1|05 53 43|-63 06.3| 0.554| 13.8|  25.1|K1 III/IV   |  4.65| 1.05|  50.6|  50.6| 3.20|     |                                                                     |05 54 06.1|-63 05 24
GJ 1087 |05 53 47|+05 22.2| 1.056|207.0|      |DAP9        | 14.10| 0.60| 125.1| 125.1|14.59|W290 |                                                                     |05 56 25.4|+05 21 46
Gl 225  |05 54 08|-14 10.5| 0.146|340.4|  -1.4|F1 III      |  3.72| 0.33|  73.4|  73.4| 3.05|     |ETA Lep                                                              |05 56 24.7|-14 10 02
NN 3371 |05 55 14|+58 35.6| 0.253|184.0|      |M1          | 10.25| 1.51|      |  76.0| 9.65|     |                                                                     |05 59 37.0|+58 35 35
NN 3372 |05 55 32|+58 34.3| 0.253|184.0|      |m           | 13.56|     |      |  76.0|12.96|     |sep 161" 119d                                                        |05 59 54.9|+58 34 15
NN 3373 |05 55 27|+68 09.7| 1.174|161.4|      |k-m         | 12.90| 1.56|  49.5|  49.5|11.37|     |LP 57-41 LDS 1201                                                    |06 00 50.6|+68 08 54
NN 3374 |05 55 24|+68 08.8| 1.174|161.4|      |m           | 13.31| 1.59|  49.5|  49.5|11.78|     |LP 57-40  sep 56" 193d (NLTT)                                        |06 00 47.5|+68 08 01
NN 3375 |05 55 52|+44 56.7| 0.056|269.7| -19.4|A2 IV       |  1.90| 0.03|  44.3|  44.3| 0.13|     |                                                                     |05 59 32.1|+44 56 52
NN 3376 |05 55 53|-04 39.1| 0.227|163.5|      |G0          |  6.99|     |      |  40.0| 5.00|     |LTT 2421 ADS 4557  sep 4.1" 359d, d(m) = 6.8  , Mv = 5.01 Olsen      |05 58 21.5|-04 39 04
NN 3377 |05 55 49|-04 38.1| 0.230|159.0|      |k-m         | 16.30|     |      |  40.0|14.30|     |LP 659-4  sep(AB-C) 89" 312d (NLTT)                                  |05 58 17.6|-04 38 04
NN 3378 |05 56 43|+59 36.5| 0.831|190.1|      |m           | 11.71| 1.60| 132.2| 132.2|12.32|     |LTT 11755 L 1813-21 LP 86-137                                        |06 01 09.6|+59 35 54
NN 3379 |05 57 26|+02 42.3| 0.241|108.0|      |M4          | 11.33| 1.68| 186.3| 186.3|12.68|     |LTT 17897                                                            |06 00 03.7|+02 42 20
Gl 225.1|05 58 12|-37 03.6| 0.286| 49.5|  40.0|G5 V        |  8.60| 0.63|  46.9|  46.9| 6.96|     |                                                                     |05 59 56.2|-37 03 23
Gl 225.2|05 58 28|-31 02.2| 0.560|314.4| 101.7|K5 V        |  8.28| 1.14|  50.7|  66.0| 7.38|U131 |V(ABCD) = 7.85 d(m) = 0.78                                           |06 00 20.0|-31 01 50
Gl 225.2|05 58 28|-31 02.2| 0.560|314.4|      |            |  9.10|     |  50.7|  66.0| 8.20|     |AB: a = 0.94" P = 72.0 yr                                            |06 00 20.0|-31 01 50
Gl 225.2|05 58 28|-31 02.2| 0.560|314.4| 105.0|K5 V        |  8.30|     |  50.7|  66.0| 7.40|     |a(AB-C) = 3.95" 390.6 yr; D(12.8m) opt. sep(A-D) 11.9" 191d (1960)   |06 00 20.0|-31 01 50
NN 3380 |05 58 36|+49 52.4| 0.801|174.5|      |m           | 14.47| 1.87| 107.8| 107.8|14.63|     |                                                                     |06 02 29.4|+49 51 42
Gl 226  |05 59 42|+82 07.9| 1.337|180.7| -21.0|M2.5        | 10.50| 1.51| 105.0| 105.0|10.61|     |AC+82:1111                                                           |06 10 17.2|+82 06 25
NN 3381 |05 59 43|+47 48.8| 0.595|187.6|      |M3.5        | 13.94|     |      |  45.0|12.21|     |LTT 11766 LFT 446 Wolf 261                                           |06 03 30.0|+47 48 11
NN 3382 |06 00 14|-20 20.1| 0.579|356.4|      |m           | 13.25|     |      |  49.0|11.70|     |LP 779-10                                                            |06 02 22.9|-20 19 43
Gl 226.1|06 00 47|+26 09.4| 0.642|149.4|      |M3.5        | 13.67| 1.65|  47.9|  47.9|12.07|     |Ross 60                                                              |06 03 54.7|+26 08 46
NN 3383 |06 01 25|+18 41.9| 0.012|173.2|      |G5          |  7.98|     |      |  51.0| 6.52|     |                                                                     |06 04 21.4|+18 41 41
Gl 226.2|06 02 37|+67 59.1| 0.090|193.0|   1.6|dK8         |  9.75| 1.25|  50.9|  40.0| 7.76|V234 |AC+67:1894                                                           |06 07 55.7|+67 58 39
Gl 226.3|06 02 48|+35 23.8| 0.314|202.2| -14.8|G0 V        |  6.11| 0.60|  46.6|  49.0| 4.56|     |                                                                     |06 06 08.7|+35 23 14
Wo 9200 |06 03 02|-45 02.1| 0.260|339.7|  25.8|G0 IV-V     |  6.35| 0.52|  40.2|  40.2| 4.40|     |LTT 2450  cmp with CD-45:2302                                        |06 04 28.4|-45 02 10
Wo 9201 |06 03 15|-55 18.2| 0.760| 65.7|   6.0|k           | 12.15| 1.46|  40.6|  40.0|10.16|     |LTT 2452                                                             |06 04 16.3|-55 18 13
Gl 227  |06 03 49|+15 33.0| 0.164|227.8| -11.7|dK0  e      |  6.76| 0.81|  65.3|  65.3| 5.83|     |                                                                     |06 06 40.9|+15 32 32
NN 3384 |06 03 54|+33 33.3| 0.430|161.0|      |M3          | 12.44| 1.45|      |  41.0|10.50|     |LTT 11782 Ross 70                                                    |06 07 12.6|+33 32 33
Wo 9202 |06 05 25|-59 31.5| 0.793|196.0|  25.4|K0 V        |  8.46| 0.85|  40.8|  31.0| 5.92|     |LTT 2459 LFT 453 CD-59:1224                                          |06 06 03.7|-59 32 33
Wo 9203 |06 05 57|+26 34.0| 0.570|255.0|      |M3          | 13.34| 1.50|  40.8|  24.0|10.20|     |LTT 11788 LFT 454 Ross 62                                            |06 09 02.1|+26 33 20
NN 3385 |06 07 40|+25 57.1| 0.568|161.8|      |M1.5        | 11.55| 1.46|  34.7|  34.7| 9.25|     |LTT 11796 Wolf 1058                                                  |06 10 46.9|+25 55 59
Gl 228  |06 08 09|+10 20.6| 0.970|175.8|  55.5|dM2.5 J     | 10.58| 1.46| 100.8| 100.8|10.60|V236 |V(AB) = 10.41 d(m) = 1.9                                             |06 10 55.1|+10 19 06
Gl 228  |06 08 09|+10 20.6| 0.970|175.8|      |            | 12.50|     | 100.8| 100.8|12.50|     |sep 0.9" to 2.4" (1945-61)                                           |06 10 55.1|+10 19 06
Gl 229  |06 08 28|-21 50.6| 0.737|190.2|   5.2|M1 Ve       |  8.14| 1.50| 174.9| 174.9| 9.35|V471 |                                                                     |06 10 34.5|-21 51 54
NN 3386 |06 08 48|+63 24.7| 0.248|137.0|  17.9|dK8         |  9.69| 1.21|  34.2|  40.0| 7.70|V235 |                                                                     |06 13 36.2|+63 23 44
NN 3387 |06 09 18|+06 47.9| 0.319|142.3| -52.4|G4 V        |  6.87| 0.63|  42.7|  39.0| 4.83|     |LTT 11802                                                            |06 12 00.3|+06 46 55
GJ 1088 |06 09 25|-43 24.5| 0.740|  9.5|  28.0|M3.5        | 12.32| 1.59|      |  75.0|11.70|     |                                                                     |06 10 56.2|-43 24 38
Wo 9204 |06 09 55|-41 33.7| 0.292|164.6|  15.0|K2 V        |  9.29| 0.95|  43.7|  27.0| 6.45|U138 |LTT 2482                                                             |06 11 29.9|-41 34 43
NN 3388 |06 10 06|+51 41.1| 0.370|258.0|      |m           | 12.86|     |      |  55.0|11.56|     |                                                                     |06 14 02.2|+51 40 09
Wo 9205 |06 10 18|+70 48.2| 0.444|180.6|  25.0|dG7         |  7.43| 0.77|  42.7|  44.0| 5.65|     |LTT 11803                                                            |06 16 03.1|+70 46 52
Gl 230  |06 10 26|+10 38.7| 0.302|164.2|   6.0|G2 V        |  6.45| 0.67|  56.9|  56.9| 5.23|     |                                                                     |06 13 12.5|+10 37 36
Wo 9206 |06 10 51|-65 10.8| 0.764|167.1|      |k           | 11.35| 1.46|  42.7|  37.0| 9.19|     |LTT 2486 LFT 461                                                     |06 11 01.7|-65 12 13
NN 3389 |06 11 41|-23 50.9| 0.125|336.0|  22.4|G5 V        |  6.38| 0.72|      |  61.0| 5.31|     |BS 2225                                                              |06 13 45.1|-23 51 44
Gl 231  |06 11 44|-74 44.2| 0.247|149.6|  34.9|G5 V        |  5.08| 0.72| 114.1| 114.1| 5.37|     |ALF Men                                                              |06 10 14.6|-74 45 11
NN 3390 |06 11 54|+19 10.5| 0.217|208.4|  35.7|F6 V        |  5.20| 0.44|  37.7|  46.0| 3.51|     |LTT 11815 ADS 4842 optical                                           |06 14 50.6|+19 09 22
Wo 9207 |06 13 38|+12 17.3| 0.202| 23.3|   8.7|F5 IV-V     |  5.04| 0.42|  43.4|  43.4| 3.20|     |LTT 11823                                                            |06 16 26.5|+12 16 22
Gl 231.1|06 14 37|+05 07.0| 0.261|306.7|   9.6|F9 V        |  5.70| 0.60|  50.4|  61.0| 4.63|     |                                                                     |06 17 16.0|+05 05 58
Gl 231.1|06 14 32|+05 08.1| 0.290|302.0|   8.9|m+          | 13.42| 1.41|  50.4|  61.0|12.35|     |                                                                     |06 17 10.9|+05 07 04
Wo 9209 |06 15 37|-59 11.4| 0.333|189.6|  -3.0|G3 V        |  6.43| 0.59|  42.0|  44.0| 4.65|     |LTT 2510 CD-59:1274                                                  |06 16 18.6|-59 12 50
Wo 9209 |06 15 37|-59 11.4| 0.333|189.6|  40.0|DB4         | 14.09|-0.09|  42.0|  44.0|12.31|W    |LTT 2511 L 182-61 BPM 18164  sep 41" 302d (NLTT)                     |06 16 18.6|-59 12 50
Gl 231.3|06 16 55|-06 37.6| 0.669|187.0|      |M4          | 13.06| 1.70|  67.6|  67.6|12.21|     |Ross 417                                                             |06 19 20.7|-06 39 28
NN 3391 |06 17 34|+44 16.2| 0.305|145.0|      |m           | 12.27|     |      |  42.0|10.39|     |                                                                     |06 21 13.4|+44 14 35
NN 3392 |06 18 05|+06 46.7| 0.515| 93.3|      |DA9         | 16.37| 0.55|  44.8|  44.8|14.63|W    |                                                                     |06 20 48.4|+06 45 16
GJ 2049 |06 19 50|-22 42.1| 0.671|292.6|      |M1.5        | 10.76| 1.44|  27.8|  76.0|10.16|     |LTT 2531                                                             |06 21 53.7|-22 43 24
Gl 232  |06 21 37|+23 28.1| 0.763|132.4|      |M4.5        | 13.06| 1.76| 120.0| 120.0|13.46|     |Ross 64                                                              |06 24 41.6|+23 25 59
NN 3393 |06 21 39|+56 12.5| 0.530|166.3|      |m           | 14.55| 1.76|  44.9|  44.9|12.81|     |                                                                     |06 25 52.7|+56 10 21
NN 3394 |06 22 47|-28 45.0| 0.204|233.6|  -4.4|G0 V        |  6.39| 0.62|      |  45.0| 4.66|     |BS 2318 LTT 2547                                                     |06 24 43.6|-28 46 50
Gl 233  |06 23 14|+18 47.3| 0.210|214.6|  -8.4|K2 V e      |  6.76| 0.94|  66.6|  66.6| 5.88|     |ADS 5054  sep 1.3" 162d d(m) = 6.8                                   |06 26 09.9|+18 45 22
Wo 9212 |06 25 10|-25 49.3| 0.290|220.0|  35.8|F9 V        |  6.07| 0.53|  43.7|  35.0| 3.79|     |LTT 2558                                                             |06 27 10.9|-25 51 23
Wo 9212 |06 25 10|-25 49.3| 0.290|220.0|      |K7          | 11.57| 1.04|  43.7|  35.0| 9.29|     |LTT 2559                                                             |06 27 10.9|-25 51 23
Gl 234  |06 26 51|-02 46.2| 0.997|134.8|  16.7|M4.5 J      | 11.13| 1.71| 242.1| 242.1|13.05|     |Ross 614  V(AB) = 10.10 d(m) = 3.5 ?                                 |06 29 23.9|-02 48 50
Gl 234  |06 26 51|-02 46.2| 0.997|134.8|      |            | 14.60|     | 242.1| 242.1|16.50|     |V 577 Mon  a = 0.932" 16.60 yr                                       |06 29 23.9|-02 48 50
NN 3395 |06 27 08|+50 05.0|      |     |      |M0          | 11.09| 1.50|      |  52.0| 9.67|     |Steph 598                                                            |06 31 00.9|+50 02 53
NN 3396 |06 28 18|+41 32.1| 0.196|183.0|      |m           | 14.83|     |      |  90.0|14.60|     |LP 205-49                                                            |06 31 50.3|+41 29 45
Gl 236  |06 30 07|-26 59.5| 0.461|116.0| 113.0|M0          | 11.41| 1.37|  67.3|  67.3|10.55|     |L 597-031                                                            |06 32 08.5|-27 01 56
Gl 237  |06 30 22|-43 29.8| 0.264|262.0|  27.0|g-k         | 10.59| 1.48|  58.3|  50.0| 9.08|     |                                                                     |06 31 51.7|-43 32 05
NN 3397 |06 32 45|-69 55.2| 0.701| 17.4|      |m           | 13.00|     |      |  42.0|11.10|     |LTT 2392 L 59-3                                                      |06 32 19.7|-69 57 00
Gl 238  |06 33 07|-58 29.9| 0.885|332.8| -16.0|m           | 11.62| 1.51|  71.0|  71.0|10.88|     |L 182-044                                                            |06 33 50.3|-58 31 40
NN 3398 |06 33 20|+11 40.1| 0.901|190.2|      |k-m         | 14.22| 1.65|  55.1|  55.1|12.93|     |USNO 705                                                             |06 36 06.8|+11 36 50
Gl 239  |06 34 19|+17 36.2| 0.885|293.4| -56.1|dM1         |  9.63| 1.49|  99.1|  99.1| 9.61|     |                                                                     |06 37 10.8|+17 33 54
Gl 239.1|06 34 30|-19 12.7| 0.083|139.6|   4.1|K1 III      |  3.96| 1.05|  54.7|  54.7| 2.65|     |NU Cma                                                               |06 36 40.9|-19 15 20
Gl 240  |06 35 55|-49 59.7| 0.220| 90.0|  16.0|K0          |  9.62| 1.46|  69.7|  69.7| 8.84|     |                                                                     |06 37 11.2|-50 02 21
NN 3399 |06 36 56|+28 38.2| 0.250|174.0|      |k-m         | 11.93| 1.50|      |  46.0|10.20|     |LTT 11891 L 1389-16 LP 307-8                                         |06 40 05.8|+28 35 12
NN 3400 |06 37 28|-61 29.3| 0.072|330.0|  32.3|G0 V        |  6.34| 0.62|      |  46.0| 4.65|     |BS 2468  V(AB) = 6.18 d(m) = 2.0                                     |06 38 00.0|-61 31 59
NN 3401 |06 37 28|-61 29.3| 0.072|330.0|      |            |  8.30|     |      |  46.0| 6.60|     |sep = 2.1"                                                           |06 38 00.0|-61 31 59
Gl 240.1|06 37 44|+79 37.4| 0.613|187.7|  15.7|F8 V        |  5.45| 0.50|  47.5|  47.5| 3.83|     |                                                                     |06 46 13.7|+79 33 51
Gl 241  |06 38 12|+24 00.6| 0.338|143.5| -44.6|dK6         |  8.13| 1.02|  57.0|  57.0| 6.91|V478 |                                                                     |06 41 15.7|+23 57 30
NN 3402 |06 38 36|+15 48.9| 0.363|175.0|      |M3          | 13.77|     |      |  40.0|11.78|     |LTT 11899 Wolf 289                                                   |06 41 28.5|+15 45 42
NN 3403 |06 38 48|-55 34.0| 0.380|269.0|      |K7 V        |  9.94| 1.31|      |  40.0| 7.95|U145 |CP-55:1035 LTT 2621                                                  |06 39 43.4|-55 36 51
Wo 9216 |06 38 53|+71 56.8| 0.555|193.1| -12.0|K7          | 10.95| 1.48|  37.8|  37.8| 8.80|V238 |LTT 11898 LFT 480 AC+72:3338 GJ 2050                                 |06 44 46.5|+71 53 19
NN 3404 |06 39 33|+03 37.9| 0.287|173.0|      |m           | 12.06|     |      |  64.0|11.09|     |                                                                     |06 42 11.0|+03 34 42
NN 3405 |06 39 36|+03 38.6| 0.287|173.0|      |m           | 13.33|     |      |  64.0|12.36|     |sep 51" 39d                                                          |06 42 14.0|+03 35 24
NN 3406 |06 39 54|+51 12.1| 0.922|173.6|      |M3.5   J    | 12.44| 1.59|  52.1|  52.1|11.02|     |LP 121-41 L 1750-12 USNO 706  V(AB) = 12.34 d(m) = 2.5               |06 43 49.9|+51 08 18
NN 3407 |06 39 54|+51 12.1| 0.922|173.6|      |            | 14.90|     |  52.1|  52.1|13.50|     |sep 1.8"                                                             |06 43 49.9|+51 08 18
Gl 242  |06 42 29|+12 57.1| 0.225|210.8|  30.0|F5 III      |  3.36| 0.43|  50.2|  50.2| 1.86|     |XI Gem BS 2484                                                       |06 45 17.4|+12 53 46
NN 3408 |06 42 51|+32 36.5| 0.462|280.1| -34.5|K3 V        |  8.77| 0.96|  47.1|  47.1| 7.14|     |LTT 11914                                                            |06 46 04.8|+32 33 21
NN 3409 |06 42 53|+32 36.4| 0.528|280.5|      |M0.5        | 12.17| 1.53|  47.1|  47.1|10.54|     |LTT 11915 Ross 419  sep 31" 101d                                     |06 46 06.6|+32 33 16
Gl 243  |06 42 52|-27 17.6| 0.288|357.9| -12.1|G2 V        |  6.45| 0.54|  60.5|  40.0| 4.46|     |                                                                     |06 44 51.8|-27 20 32
Gl 244  |06 42 57|-16 38.8| 1.328|204.3|  -9.4|A1 V        | -1.43| 0.00| 380.4| 380.4| 1.47|     |ALF CMa ADS 5423 LTT 2638                                            |06 45 09.2|-16 43 00
Gl 244  |06 42 57|-16 38.8| 1.328|204.3|      |DA2         |  8.44|-0.03| 380.4| 380.4|11.34|W049 |a = 7.500" P = 50.090 yr                                             |06 45 09.2|-16 43 00
Gl 245  |06 43 08|+43 37.8| 0.164|359.0| -23.9|G0 V        |  5.24| 0.56|  66.2|  66.2| 4.34|     |PSI(5) Aur                                                           |06 46 44.1|+43 34 41
Gl 245.1|06 43 31|-31 44.1| 0.387|213.4|  32.0|F6 V        |  5.92| 0.49|  50.4|  41.0| 3.98|     |dF6 (Wil)                                                            |06 45 23.3|-31 47 35
Gl 246  |06 44 15|+37 35.1| 0.968|193.3|  80.0|DA2         | 12.06|-0.08|  62.6|  62.6|11.04|W050 |L 1534-001                                                           |06 47 38.1|+37 30 59
NN 3410 |06 44 47|+02 34.4| 0.436|275.0|      |DA8         | 15.68| 0.32|  54.6|  54.6|14.37|W484 |                                                                     |06 47 22.2|+02 31 06
Gl 247  |06 45 27|+60 23.2| 0.476| 29.1| -52.9|dM0  p      |  8.58| 1.22|  50.6|  50.6| 7.10|V479 |pi(t) Heintz AJ 94                                                   |06 49 57.2|+60 20 06
GJ 1091 |06 45 27|+37 12.0| 0.140|263.0|      |            | 13.34| 1.35|  44.3|  44.3|11.57|     |"near G87-8"                                                         |06 48 49.7|+37 08 35
GJ 1092 |06 45 41|+37 11.7| 1.618|172.3|      |m           | 13.76| 1.66|  75.8|  75.8|13.16|     |                                                                     |06 49 05.2|+37 06 56
NN 3411 |06 46 16|+35 12.1| 0.315|154.0|      |K5          | 10.17| 1.32|      |  40.0| 8.18|     |LP 254-40                                                            |06 49 36.3|+35 08 24
Gl 248  |06 47 41|-61 53.2| 0.276|345.1|  20.6|A7 IV       |  3.27| 0.21|  50.9|  50.9| 1.80|     |ALF Pic                                                              |06 48 11.8|-61 56 27
Gl 249  |06 47 49|+47 26.2| 0.736|198.2|  22.2|dK6         |  8.99| 1.24|  50.4|  56.0| 7.73|V239 |                                                                     |06 51 32.5|+47 22 02
Gl 249.1|06 48 30|-46 33.6| 0.370|359.0|  20.1|F5 III      |  5.13| 0.45|  48.5|  48.5| 3.60|     |                                                                     |06 49 54.7|-46 36 51
NN 3412 |06 49 29|+60 56.8| 1.147|152.3|      |M3.5        | 11.06| 1.54|  91.5|  91.5|10.87|     |LTT 11937 LP 87-237 L 1815-5 Hei 334  d(m) = 0.5  V(AB) = 10.52      |06 54 03.4|+60 52 13
NN 3413 |06 49 36|+18 20.0| 0.208| 40.0|      |m           | 13.18|     |      |  53.0|11.80|     |LTT 11938 L 1246-11 LP 421-7                                         |06 52 31.8|+18 16 27
Gl 250  |06 49 52|-05 06.7| 0.544|269.8|  -9.6|K3 V        |  6.59| 1.05| 108.9| 108.9| 6.78|U148 |                                                                     |06 52 18.1|-05 10 24
Gl 250  |06 49 52|-05 07.7| 0.541|270.0|  -6.9|M2          | 10.09| 1.50| 108.9| 108.9|10.28|     |                                                                     |06 52 18.1|-05 11 23
Wo 9219 |06 51 34|-28 28.2| 0.519|147.5|  72.1|G5 IV       |  6.03| 0.72|  41.4|  41.4| 4.12|     |LFT 496                                                              |06 53 33.5|-28 32 22
Gl 251  |06 51 35|+33 20.3| 0.851|242.3|  22.9|dM4         | 10.01| 1.57| 173.6| 173.6|11.21|V482 |AC+33:25644                                                          |06 54 48.4|+33 16 08
Wo 9220 |06 51 49|+13 14.6| 0.100|139.8|  14.8|A9 V p      |  4.74| 0.31|  40.7|  39.0| 2.70|     |BS 2564 ADS 5559                                                     |06 54 38.2|+13 10 42
Wo 9220 |06 51 49|+13 14.6| 0.100|139.8|  22.3|G6 V        |  7.68| 0.72|  40.7|  39.0| 5.64|     |sep 7.0" d(m) = 2.9                                                  |06 54 38.2|+13 10 42
Gl 251.1|06 52 10|+12 13.7| 0.333|190.0|  16.4|dM1.5       | 10.55| 1.24|  44.0|  29.0| 7.86|V012 |                                                                     |06 54 57.6|+12 09 34
Gl 252  |06 52 14|+25 26.4| 0.049|301.8| -15.1|G0 V        |  5.74| 0.57|  52.7|  59.0| 4.59|     |                                                                     |06 55 18.5|+25 22 32
NN 3414 |06 52 18|+55 02.9| 0.706|199.2|      |k-m         | 11.80|     |  58.6|  58.6|10.60|     |                                                                     |06 56 23.1|+54 58 25
NN 3415 |06 52 59|+40 08.8| 0.466|164.4|  50.9|K5 V        |  9.12| 1.12|  38.1|  38.1| 7.02|V240A|LTT 11946                                                            |06 56 28.0|+40 04 29
